Pressure (Pa),Enthalpy Vapor (J/kg)
1099646.9370703883,420684.3729134945
1114460.1990687232,420895.2264993285
1129422.6349305366,421104.3704091747
1144535.2407532916,421311.7787713332
1159799.017414303,421517.4251328485
1175214.9706605903,421721.2824406474
1190784.1112011399,421923.3230219038
1206507.4548034482,422123.51856358326
1222386.0223925826,422321.8400911345
1238420.8401538124,422518.25794627273
1254612.939639552,422712.7417638186
1270963.357934255,422905.26044461847
1287473.1375363842,423095.7821426172
1304143.3268454398,423284.2742190209
1320974.9800231408,423470.70322858985
1337969.15719008,423655.0348872288
1355126.924556515,423837.23404194025
1372449.3545587412,424017.2646393973
1389937.5260000888,424195.08969305834
1407592.5241966746,424370.6712487399
1425415.4411289722,424543.9703485572
1443407.3755989536,424714.94699313777
1461569.4333922307,424883.5601020029
1479902.7274473906,425049.7674720106
1498408.3780305327,425213.5257337404
1517087.5129169922,425374.79030569305
1535941.267579568,425533.5153461707
1554970.7853842012,425689.6537026912
1574177.2177924998,425843.15685878193
1593561.7245728453,425993.9748779802
1613125.474018829,426142.05634486506
1632869.6431767785,426287.34830291814
1652795.418081657,426429.79618900735
1672903.994002916,426569.34376426466
1693196.5756954462,426705.93304132565
1713674.3776784246,426839.50420650013
1734338.6244942248,426969.99553922296
1755190.5510058193,427097.34332526906
1776231.4027121253,427221.4817645504
1797462.4359679515,427342.3428796129
1818884.9184914911,427459.8564026694
1840500.1295197387,427573.94967721036
1862309.3602526274,427684.54753723525
1884313.9142025225,427791.5721854764
1906515.107578291,427894.9430627487
1928914.2697754554,427994.57670380204
1951512.743451164,428090.3866084601
1974311.8853359148,428182.2830623018
1997313.0668395804,428270.1729598069
2020517.6739325575,428353.9596572018
2043927.1080802092,428433.54275524797
2067542.7866628314,428508.8178983869
2091366.1435257795,428579.676553132
2115398.6295563825,428646.00577021745
2139641.7132891454,428707.6879290139
2164096.881795538,428764.60045155796
2188765.6403563265,428816.6155505598
2213649.5146333687,428863.5998436793
2238750.0504482184,428905.41405258304
2264068.8147988594,428941.9126189119
2289607.3963017752,428972.9433083447
2315367.407540923,428998.34673876635
2341350.4838236487,429017.9559562615
2367558.285563384,429031.59588159027
2393992.498965016,429039.0827549011
2420654.8371184813,429040.22351960273
2447547.0411602785,429034.8151485756
2474670.8815091774,429022.6439059501
2502028.159182594,429003.4845367084
2529620.7072011195,428977.099375277
2557450.3920894433,428943.2373629302
2585519.1154832942,428901.63296229055
2613828.815852493,428852.0049553949
2642381.470352628,428794.0551096252
2671179.096818487,428727.4666932403
2700223.75591457,428651.9028191962
2729517.5534608485,428567.0045922439
2759062.6429531164,428472.389029913
2788861.2283016327,428367.6467226174
2818915.566814338,428252.33919165155
2849227.9724556934,428125.9958959046
2879800.819416877,427988.11082838796
2910636.546039,427838.1386316498
2941737.6591387424,427675.49014619546
2973106.7387934774,427499.52728736226
3004746.4436544944,427309.55712254625
3036659.516869368,427104.8249908445
3068848.79271048,426884.5064690335
3101317.204026322,426647.6979386618
3134067.790656818,426393.4054451483
3167103.708985201,426120.53145594464
3200428.2428373178,425827.85901376605
3234044.8159905216,425514.03263197414
3267957.00661825,425177.5350774625
3302168.5640822644,424816.6589092512
3336683.4286056366,424429.47125529946
3371505.7544370135,424013.7697647552
3406639.9375470914,423567.0268894119
3442090.648793284,423086.31850143377
3477862.8742756397,422568.231141923
3513961.9649312557,422008.7395792212
3550393.698319489,421403.04225807195
3587164.3567675157,420745.33561603946
3624280.827938727,420028.4972460895
3661750.736886255,419243.6288757983
3699582.6235867348,418379.37582117604
3737786.1884154105,417420.87438080343
3776372.6434376724,416348.04693806847
3815355.2357934616,415132.6777585652
3855375.447365852,413518.5231547752
3897487.2459479216,410736.7129137139
3938438.448034499,407672.2197447723
3978575.752849327,404155.22678867314
4018442.1953614363,399740.8821520034
4059111.5388408266,389638.86644058453
