Pressure (Pa),Enthalpy Liquid (J/kg)
9917390.693256143,1404488.7734507858
10044361.102611901,1409978.6892300597
10172585.486349802,1415493.6435348794
10302073.54554722,1421034.2187650702
10432835.089135908,1426601.0195669997
10564880.037386384,1432194.6740744421
10698218.425577981,1437815.835247264
10832860.407823045,1443465.1823186234
10968816.261097105,1449143.4223626207
11106096.38945029,1454851.2919960588
11244711.32843245,1460589.5592298943
11384671.749738112,1466359.0254880153
11525988.466077842,1472160.5278135166
11668672.436303746,1477994.9412854007
11812734.770779274,1483863.1816719593
11958186.737572733,1489766.2083476144
12105039.766140295,1495705.0275266792
12253305.45707543,1501680.6958037468
12402995.586207109,1507694.3241126768
12554122.112116452,1513747.0821035705
12706697.183354437,1519840.2030170169
12860733.146015707,1525974.989118838
13016242.551683903,1532152.817771237
13173238.165756932,1538375.1482274341
13331732.976161607,1544643.529248933
13491740.202481218,1550959.607658893
13653273.305480892,1557325.1379608274
13816345.997063778,1563741.9931703152
13980972.250640674,1570212.1770279577
14147166.311928185,1576737.8377855408
14314942.710173842,1583321.2837840149
14484316.269809484,1589965.0010723919
14655302.122532338,1596671.6733510138
14827915.719822329,1603444.204561501
15002172.845899463,1610285.7444894095
15178089.631146252,1617199.7177945257
15355682.566035539,1624189.8569380373
15534968.515626648,1631260.2395351173
15715964.73474405,1638415.3307259548
15898688.884016536,1645660.0312255048
16083159.04705117,1652999.7317813095
16269393.74915921,1660440.374834527
16457411.97825522,1667988.5242373485
16647233.208841933,1675651.443921992
16838877.43041511,1683437.1864325844
17032365.182208538,1691354.692212348
17227717.597037748,1699413.9004782767
17424956.458153605,1707625.8724255927
17624104.27464432,1716002.927436923
17825184.38312892,1724558.7930766013
18028221.086461607,1733308.770284694
18233239.844100207,1742269.9171273257
18440267.533721607,1751461.259317077
18649332.809563328,1760904.0466595101
18860466.587519474,1770622.0976528977
19073702.701430984,1780642.319759587
19289078.752767958,1790995.5801134738
19506637.199485533,1801718.2542818938
19726426.674627833,1812855.0432173482
19948503.485087566,1824464.0711654811
20172933.14316424,1836625.9595397238
20399791.64226754,1849459.760288834
20629165.971596688,1863151.0632022286
20861152.98925782,1878003.3852807232
21095855.009179287,1894539.0171687875
21333369.298886925,1913716.6024254097
21573771.038768534,1937450.8039088293
21817134.170398563,1970159.259976112
22064000.00000115,2084256.255907945
