Pressure (Pa),Enthalpy Vapor (J/kg)
448183.46564727364,2743203.227634933
459664.18536390713,2744342.064895131
471379.55549091124,2745472.5595753146
483333.0296135304,2746594.6400516992
495528.08877854847,2747708.234581244
507968.2414620177,2748813.27129581
520657.02347984747,2749909.678195826
533597.9979806016,2750997.383143463
546794.7553490052,2752076.31385534
560250.913152095,2753146.397894756
573970.1160974512,2754207.5626634588
587956.0359628851,2755259.735392953
602212.3715207204,2756302.8431353564
616742.8485117683,2757336.8127538185
631551.2195405755,2758361.570912493
646641.2640521487,2759377.044066102
662016.7882341385,2760383.1584490556
677681.6249749586,2761379.8400641847
693639.6337875279,2762367.014671057
709894.7007456811,2763344.6077739084
726450.7384253191,2764312.5446091844
743311.6858163394,2765270.7501327125
760481.5082941523,2766219.149006504
777964.1975213005,2767157.6655851924
795763.7713824849,2768086.2239021393
813884.2739257371,2769004.747655178
832329.7753152555,2769913.160192042
851104.3717186477,2770811.384495456
870212.185279696,2771699.3431679155
889657.3640298336,2772576.9584161555
909444.0818434324,2773444.152035314
929576.5383430693,2774300.845392804
950058.9588518019,2775146.959411878
970895.5943254337,2775982.414554934
992090.721302082,2776807.130806519
1013648.6417988578,2777621.027656064
1035573.6832738817,2778424.024080352
1057870.1985901217,2779216.0385257113
1080542.5659014808,2779996.9888899457
1103595.188609418,2780766.792504007
1127032.4953251786,2781525.366113394
1150858.9397908682,2782272.6258593085
1175079.0008069999,2783008.487259537
1199697.1822146336,2783732.8651890755
1224718.0128037287,2784445.673860492
1250146.046265171,2785146.826804044
1275985.861160294,2785836.2368474873
1302242.0608372106,2786513.8160956665
1328919.273398115,2787179.4759097886
1356022.1516480278,2787833.1268864493
1383555.3730388167,2788474.6788363503
1411523.6396376428,2789104.040762745
1439931.6780734058,2789721.120839566
1468784.2394917866,2790325.826389263
1498086.0995200993,2790918.063860306
1527842.0582310148,2791497.738804372
1558056.940097922,2792064.7558531947
1588735.593965902,2792619.018695039
1619882.8930232665,2793160.4300508434
1651503.7347673648,2793688.8916499624
1683603.0409685033,2794204.304205508
1716185.757663603,2794706.5673893
1749256.8551221634,2795195.579806373
1782821.3278242606,2795671.2389690313
1816884.1944524297,2796133.4412704557
1851450.497871817,2796582.0819578064
1886525.3051176502,2797017.0551048233
1922113.7073914944,2797438.253583893
1958220.8200515818,2797845.569037573
1994851.7826180514,2798238.891849519
2032011.758763094,2798618.111114834
2069705.9363240963,2798983.1146097654
2107939.52731054,2799333.7887607664
2146717.7679160647,2799670.0186128686
2186045.9185271626,2799991.687797339
2225929.263752998,2800298.6784986183
2266373.112545112,2800590.871420471
2307382.7977786316,2800868.145751357
2348963.6770159844,2801130.379128957
2391121.132007382,2801377.447603854
2433860.5688777617,2801609.2256023143
2477187.4181725755,2801825.5858881515
