Pressure (Pa),Enthalpy Liquid (J/kg)
536891.9634833595,224638.6966576831
545533.7805101209,225352.23354356334
554280.5723656691,226066.6907106378
563133.1658489611,226782.07553514367
572092.3905342293,227498.3955000775
581159.0787820681,228215.65819742446
590334.0657517212,228933.87133045288
599618.1894137878,229653.042716068
609012.2905643411,230373.18028723623
618517.2128392509,231094.29209547245
628133.8027297418,231816.38631340105
637862.9095989846,232539.47123738826
647705.385699123,233263.55529024973
657662.0861897552,233988.64702403822
667733.8691569582,234714.7551229087
677921.5956337911,235441.88840607143
688226.1296211042,236170.05583082882
698648.338110044,236899.26649570532
709189.091105351,237629.52964366882
719849.2616495043,238360.85466545096
730629.7258486032,239093.25110296757
741531.3628984718,239826.728652844
752555.0551129945,240561.2971700513
763701.6879525854,241296.96667165146
774972.1500548425,242033.74734066654
786367.3332656554,242771.6495300646
797888.1326722344,243510.68376687609
809535.446637174,244250.86075644326
821310.1768334254,244992.19138680465
833213.2282819849,245734.68673322815
845245.5093894461,246478.35806288844
857407.9319881944,247223.21683970577
869701.411377406,247969.27472934313
882126.8663661141,248716.5436043773
894685.2193174637,249465.0355496433
907377.3961950182,250214.7628677671
920204.3266105247,250965.73808488942
933166.9438732665,251717.97395659194
946266.185041731,252471.4834740351
959502.9909765943,253226.27987031508
972878.3063961951,253982.3766270535
986393.0799331681,254739.78748122617
1000048.2641942354,255498.5264322467
1013844.8158208521,256258.60774931332
1027783.6955531501,257020.045979034
1041865.8682953848,257782.85595334263
1056092.3031838923,258547.0527977186
1070463.9736578392,259312.6519397289
1084981.8575315305,260079.66911790372
1099646.9370703883,260848.1203909674
1114460.1990687232,261618.02214743703
1129422.6349305366,262389.3911156151
1144535.2407532916,263162.2443739874
1159799.017414303,263936.5993620565
1175214.9706605903,264712.47389162664
1190784.1112011399,265489.8861585682
1206507.4548034482,266268.8547550872
1222386.0223925826,267049.39868252416
1238420.8401538124,267831.53736471606
1254612.939639552,268615.2906619489
1270963.357934255,269400.67888553516
1287473.1375363842,270187.7228130539
1304143.3268454398,270976.4437042845
1320974.9800231408,271766.86331788474
1337969.15719008,272559.00392884377
1355126.924556515,273352.8883467681
1372449.3545587412,274148.53993503924
1389937.5260000888,274945.982630904
1407592.5241966746,275745.2409665469
1425415.4411289722,276546.3400912093
1443407.3755989536,277349.3057944183
1461569.4333922307,278154.16453039425
1479902.7274473906,278960.9434437102
1498408.3780305327,279769.67039628624
1517087.5129169922,280580.3739957996
1535941.267579568,281393.08362560737
1554970.7853842012,282207.82947627455
1574177.2177924998,283024.6425788213
1593561.7245728453,283843.5548397973
1613125.474018829,284664.59907831094
1632869.6431767785,285487.8090651441
1652795.418081657,286313.21956409677
1672903.994002916,287140.86637572065
1693196.5756954462,287970.786383601
1713674.3776784246,288803.0176033797
1734338.6244942248,289637.59923470486
1755190.5510058193,290474.5717163321
1776231.4027121253,291313.97678459785
1797462.4359679515,292155.8575355261
1818884.9184914911,293000.2584908335
1840500.1295197387,293847.2256681399
1862309.3602526274,294696.8066556996
1884313.9142025225,295549.0506920143
1906515.107578291,296404.00875071296
1928914.2697754554,297261.73363110767
1951512.743451164,298122.280054954
1974311.8853359148,298985.7047698014
1997313.0668395804,299852.06665954634
2020517.6739325575,300721.4268629681
2043927.1080802092,301593.8489006001
2067542.7866628314,302469.3988109412
2091366.1435257795,303348.1452967233
2115398.6295563825,304230.15988216957
2139641.7132891454,305115.5170822461
2164096.881795538,306004.2945847818
2188765.6403563265,306896.5734481214
2213649.5146333687,307792.43831232394
2238750.0504482184,308691.97762975283
2264068.8147988594,309595.283913709
2289607.3963017752,310502.4540091874
2315367.407540923,311413.5893823174
2341350.4838236487,312328.7964439103
2367558.285563384,313248.1868933447
2393992.498965016,314171.8780978324
2420654.8371184813,315099.993506045
2447547.0411602785,316032.663100881
2474670.8815091774,316970.0238959848
2502028.159182594,317912.2204812855
2529620.7072011195,318859.405623594
2557450.3920894433,319811.74092920206
2585519.1154832942,320769.3975764839
2613828.815852493,321732.5571277651
2642381.470352628,322701.4124311998
2671179.096818487,323676.16862518137
2700223.75591457,324657.04425991216
2729517.5534608485,325644.2725533163
2759062.6429531164,326638.1028015203
2788861.2283016327,327638.80196785415
2818915.566814338,328646.656478826
2849227.9724556934,329661.97426105436
2879800.819416877,330685.08705993294
2910636.546039,331716.35308921785
2941737.6591387424,332756.16007119376
2973106.7387934774,333804.9287401958
3004746.4436544944,334863.1168988284
3036659.516869368,335931.224137252
3068848.79271048,337009.7973528768
3101317.204026322,338099.4372425994
3134067.790656818,339200.80598509026
3167103.708985201,340314.6363902929
3200428.2428373178,341441.7428725739
3234044.8159905216,342583.0347104784
3267957.00661825,343739.53220081166
3302168.5640822644,344912.386514142
3336683.4286056366,346102.90433697123
3371505.7544370135,347312.5787817718
3406639.9375470914,348543.1286109652
3442090.648793284,349796.54866290773
3477862.8742756397,351075.17561296525
3513961.9649312557,352381.775125663
3550393.698319489,353719.6594699114
3587164.3567675157,355092.84955251485
3624280.827938727,356506.303490296
3661750.736886255,357966.2480178237
3699582.6235867348,359480.6747430047
3737786.1884154105,361060.11237667524
3776372.6434376724,362718.88583812345
3815355.2357934616,364477.2918510273
3855375.447365852,366362.80760702083
3897487.2459479216,368424.58447238297
3938438.448034499,370760.323927346
3978575.752849327,373551.26441743027
4018442.1953614363,377305.34498189215
4059111.5388408266,389638.86644058453
